airport,departures,delay_rate,avg_delay,avg_risk,arrivals,weighted_degree,in_weighted_degree,out_weighted_degree,betweenness,pagerank,closeness,criticality
MIA,21179,0.31295150856980974,24.54190471693659,0.3056935387279208,21175,42354.0,21175.0,21179.0,0.0023945582341666255,0.03500386499826019,0.9666666666666667,0.8595658737561376
DEN,31253,0.2524877611749272,16.490096950692735,0.2795509527090514,31235,62488.0,31235.0,31253.0,0.0024825244551377724,0.04969216958745146,1.0,0.8230698280844821
DFW,27582,0.2730766441882387,20.524472482053515,0.2781550504800352,27537,55119.0,27537.0,27582.0,0.0019400660924823658,0.04401712544156569,0.9666666666666667,0.7581409399928006
FLL,18125,0.30289655172413793,22.88049655172414,0.2724425850575882,18122,36247.0,18122.0,18125.0,0.0023945582341666255,0.0308114195000245,0.9666666666666667,0.7578028960983534
MCO,27400,0.2610948905109489,19.617883211678834,0.22919982581068502,27424,54824.0,27424.0,27400.0,0.0023945582341666255,0.04424773564971585,0.9666666666666667,0.7064568458955147
CLT,21418,0.2383976094873471,16.51932953590438,0.2451512901436437,21434,42852.0,21434.0,21418.0,0.0024825244551377724,0.03546878829272422,1.0,0.6465605188787878
LAS,24678,0.22813842288678174,16.077234784018152,0.23341774262480108,24598,49276.0,24598.0,24678.0,0.0024825244551377724,0.04007022465103634,1.0,0.6416860755942061
ORD,30678,0.21728926266379817,16.804648282156595,0.22119574966507724,30670,61348.0,30670.0,30678.0,0.002173612976811002,0.048589175419869124,0.9666666666666667,0.6268005792245511
LAX,29092,0.20912965763783858,14.942939639763509,0.20318790726965938,29116,58208.0,29116.0,29092.0,0.0024825244551377724,0.046352928074274644,1.0,0.6027215295226769
ATL,34569,0.1960716248662096,13.001070323121873,0.17799768377849842,34577,69146.0,34577.0,34569.0,0.0024825244551377724,0.0545920795167474,1.0,0.5924413763695273
SFO,19362,0.25746307199669455,19.85833075095548,0.229349674114513,19313,38675.0,19313.0,19362.0,0.0016534252853593187,0.03221767941191434,0.9666666666666667,0.5385221462866089
PHX,25069,0.19725557461406518,13.350472695360803,0.20008481997436675,25041,50110.0,25041.0,25069.0,0.0024825244551377724,0.040746692744396074,1.0,0.538485005417222
SLC,15956,0.21471546753572324,15.15793431937829,0.22810380143812067,15951,31907.0,15951.0,15956.0,0.0024825244551377724,0.027400287785593672,1.0,0.5253943403006803
IAH,18231,0.20728429597937578,16.731446437386868,0.20729796302203762,18219,36450.0,18219.0,18231.0,0.0024825244551377724,0.030725111048005717,1.0,0.5006049033696439
TPA,15407,0.2235996624910755,17.732718894009217,0.17821113205242461,15430,30837.0,15430.0,15407.0,0.0023945582341666255,0.027002300599307114,0.9666666666666667,0.44220484135811194
SEA,17231,0.20799721432302246,14.292786257326911,0.21741666702918044,17201,34432.0,17201.0,17231.0,0.0016534252853593187,0.029192979989472297,0.9666666666666667,0.4151296343887708
BNA,16390,0.18529591214154972,15.080841976815131,0.18835765090398515,16422,32812.0,16422.0,16390.0,0.0024825244551377724,0.028425293800739514,1.0,0.414422875229417
AUS,14856,0.20691976305869683,15.618874528809908,0.21641189147284726,14892,29748.0,14892.0,14856.0,0.0016534252853593187,0.026144480998523827,0.9666666666666667,0.3885131198388188
BOS,23423,0.1784570721086112,13.807667677069547,0.17497937905772254,23479,46902.0,23479.0,23423.0,0.0019400660924823658,0.038369637745257756,0.9666666666666667,0.3880040809250478
DTW,17286,0.18876547495082727,14.94232326738401,0.19448790469354302,17299,34585.0,17299.0,17286.0,0.0019400660924823658,0.029530982880432797,0.9666666666666667,0.377822098319906
SAN,14089,0.19320036908226276,14.501526013201788,0.2089279427847726,14118,28207.0,14118.0,14089.0,0.0014560651742061043,0.02495946163074551,0.9354838709677419,0.3233429420111339
PHL,14698,0.19227105728670568,16.597292148591645,0.20451725868212287,14716,29414.0,14716.0,14698.0,0.0014739695586772046,0.025713544010210504,0.9354838709677419,0.3224281188035437
MSP,15130,0.16364838070059484,11.843820224719101,0.15500189098645503,15147,30277.0,15147.0,15130.0,0.0024825244551377724,0.02640432728227925,1.0,0.3105582193115815
DAL,8916,0.21444593988335575,12.101502916105877,0.2224418208619083,8912,17828.0,8912.0,8916.0,0.001146964693762723,0.017694509194157305,0.8529411764705882,0.2959873181993192
MDW,10307,0.20714077811196274,13.736780828563113,0.20704832433382414,10254,20561.0,10254.0,10307.0,0.001360113613808195,0.01968925691530007,0.90625,0.29586466978339554
BWI,12448,0.22051735218508997,14.835154241645244,0.21878280206592143,12486,24934.0,12486.0,12448.0,0.0008029246758096617,0.022723762049852117,0.8787878787878788,0.29561827898795356
DCA,17832,0.1722184836249439,14.980820995962315,0.16496008092861897,17810,35642.0,17810.0,17832.0,0.001830139073688352,0.030205665364893098,0.9354838709677419,0.2940241813862623
LGA,20362,0.17955014242215891,15.032904429820253,0.17445127861837995,20377,40739.0,20377.0,20362.0,0.0005785470686948518,0.03373619679239154,0.8055555555555556,0.20523889078415225
JFK,17304,0.19631299121590384,14.91764909847434,0.18360393935681046,17301,34605.0,17301.0,17304.0,0.0003732925530955087,0.029361152395584907,0.8529411764705882,0.19549088962847078
EWR,18451,0.18866186114573735,14.39976153054035,0.17565206198618646,18466,36917.0,18466.0,18451.0,0.00027066529529583716,0.030911166229273333,0.8529411764705882,0.16906555708101081
