indicator,cumulative_delay,avg_delay,recovery_time,min_performance,loss_area,spread_range,delay_flight_ratio,cancel_proxy,strategy_cost,complexity
cumulative_delay,1.0,1.3333333333333333,1.1428571428571428,1.1428571428571428,1.3333333333333333,1.6,1.6,2.6666666666666665,2.0,2.6666666666666665
avg_delay,0.75,1.0,0.8571428571428571,0.8571428571428571,1.0,1.2,1.2,2.0,1.5,2.0
recovery_time,0.875,1.1666666666666667,1.0,1.0,1.1666666666666667,1.4,1.4,2.3333333333333335,1.75,2.3333333333333335
min_performance,0.875,1.1666666666666667,1.0,1.0,1.1666666666666667,1.4,1.4,2.3333333333333335,1.75,2.3333333333333335
loss_area,0.75,1.0,0.8571428571428571,0.8571428571428571,1.0,1.2,1.2,2.0,1.5,2.0
spread_range,0.625,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.8333333333333334,1.0,1.0,1.6666666666666667,1.25,1.6666666666666667
delay_flight_ratio,0.625,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.8333333333333334,1.0,1.0,1.6666666666666667,1.25,1.6666666666666667
cancel_proxy,0.375,0.5,0.42857142857142855,0.42857142857142855,0.5,0.6,0.6,1.0,0.75,1.0
strategy_cost,0.5,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.8,0.8,1.3333333333333333,1.0,1.3333333333333333
complexity,0.375,0.5,0.42857142857142855,0.42857142857142855,0.5,0.6,0.6,1.0,0.75,1.0
