recall,precision
1.0,0.23846
1.0,0.2384647692953859
1.0,0.23846953878155125
0.9941289943806089,0.24275503307596208
0.9940451228717605,0.24278427596943689
0.9936257653275182,0.24315504289643283
0.9936257653275182,0.24316003366104966
0.9872515306550365,0.24649244042383883
0.9797869663675249,0.24979686096736944
0.9765159775224356,0.2510457544525422
0.9703933573764992,0.2533391723231881
0.9703933573764992,0.2533447196128665
0.9703933573764992,0.2533502671454848
0.9693030277614695,0.2539497681777231
0.9605803908412313,0.2575270388775212
0.9605803908412313,0.25753282964561974
0.9419609158768766,0.26426504153038893
0.9419609158768766,0.26427125982399174
0.9258575861779753,0.26933587078514615
0.8520506583913444,0.2914228341939185
0.8351924851128072,0.2970852352397148
0.8044116413654282,0.305037847465174
0.8044116413654282,0.30504754937820044
0.8044116413654282,0.30505725190839694
0.8044116413654282,0.3050669550558224
0.8041600268388829,0.30512681793590685
0.8040761553300344,0.3051047037107759
0.7824373060471358,0.3105319219759004
0.7477145013838798,0.3201077199281867
0.7398305795521262,0.3222989513683364
0.7130755682294725,0.3286940385061471
0.6765914618803992,0.335873095178616
0.6361653946154492,0.34544792093637566
0.6297072884341189,0.34670976679750637
0.6097458693281892,0.35192177364701327
0.6097458693281892,0.35193881008858985
0.6097458693281892,0.35195584817970565
0.6089071542397048,0.3522049192257313
0.6088232827308563,0.35217349117019214
0.5964102994212865,0.3553190426222955
0.5339260253291956,0.36919329583019195
0.501132265369454,0.3751962323390895
0.4994548351924851,0.37561498675413146
0.4532416338169924,0.38459896092804785
0.4459448125471777,0.38528985507246377
0.3897509016187201,0.3952202755570675
0.3364924934999581,0.4091789903110658
0.3198859347479661,0.4124134948096886
0.3198859347479661,0.4124580945171407
0.31770527551790656,0.4140343206907859
0.29396963851379687,0.42178098676293624
0.29396963851379687,0.42183174870622214
0.24289188962509436,0.43548872180451126
0.2097626436299589,0.4438331854480923
0.20967877212111047,0.44373446929357474
0.19525287259917806,0.4523023120264232
0.17738824121445945,0.45848688489052675
0.17738824121445945,0.45858629661751954
0.17738824121445945,0.4586857514638907
0.177304369705611,0.45916594265855776
0.16782688920573682,0.4591555759522717
0.1499622578210182,0.4690451206715635
0.14987838631216976,0.46890579900288637
0.14979451480332132,0.4687664041994751
0.1140652520338841,0.49382716049382713
0.11381363750733876,0.4934545454545455
0.0901618720120775,0.5009319664492078
0.07380692778663088,0.5008537279453614
0.050658391344460284,0.5008291873963516
0.05057451983561184,0.5004149377593361
0.05057451983561184,0.5008305647840532
0.05007129078252118,0.5033726812816189
0.04948419022058207,0.5012744265080714
0.04948419022058207,0.5017006802721088
0.04940031871173362,0.5012765957446809
0.04889708965864296,0.5004291845493563
0.03673572087561855,0.5140845070422535
0.03673572087561855,0.5146886016451234
0.023148536442170596,0.5359223300970873
0.016354944225446616,0.5256064690026954
0.016354944225446616,0.527027027027027
0.00922586597332886,0.5339805825242718
0.0031032458273924346,0.5441176470588235
0.0030193743185439907,0.5373134328358209
0.0029355028096955463,0.5303030303030303
0.0029355028096955463,0.5384615384615384
0.0028516313008471023,0.53125
0.0020129162123626605,0.5853658536585366
0.0020129162123626605,0.6
0.0019290447035142163,0.5897435897435898
0.001341944141575107,0.5925925925925926
0.0,1.0
